[2026-04-24 14:35:45.97] Compiling test/EchidnaLotteryVRF.t.sol... Done! (3.24692021s)
Analyzing contract: /workspace/LotterySystem/test/EchidnaLotteryVRF.t.sol:EchidnaLotteryVRF
[2026-04-24 14:35:49.30] Running slither on test/EchidnaLotteryVRF.t.sol... Done! (0.833129584s)
[2026-04-24 14:35:51.84] [Worker 1] New coverage: 1635 instr, 1 contracts, 1 seqs in corpus
[2026-04-24 14:35:51.88] [Worker 6] New coverage: 1635 instr, 1 contracts, 2 seqs in corpus
[2026-04-24 14:35:52.01] [Worker 0] New coverage: 1635 instr, 1 contracts, 3 seqs in corpus
[2026-04-24 14:35:52.02] [Worker 3] New coverage: 1635 instr, 1 contracts, 4 seqs in corpus
[2026-04-24 14:35:52.05] [Worker 4] New coverage: 1635 instr, 1 contracts, 5 seqs in corpus
[2026-04-24 14:35:52.06] [Worker 5] New coverage: 1635 instr, 1 contracts, 6 seqs in corpus
[2026-04-24 14:35:52.15] [Worker 7] New coverage: 1635 instr, 1 contracts, 7 seqs in corpus
[2026-04-24 14:35:52.22] [Worker 2] New coverage: 1635 instr, 1 contracts, 8 seqs in corpus
[2026-04-24 14:35:53.22] [status] tests: 0/2, fuzzing: 4126/1000000, values: [], cov: 1635, corpus: 8
[2026-04-24 14:35:56.25] [status] tests: 0/2, fuzzing: 7847/1000000, values: [], cov: 1638, corpus: 8
[2026-04-24 14:35:57.16] [Worker 1] New coverage: 1669 instr, 1 contracts, 9 seqs in corpus
[2026-04-24 14:35:57.42] [Worker 3] New coverage: 1672 instr, 1 contracts, 10 seqs in corpus
[2026-04-24 14:35:58.69] [Worker 5] New coverage: 1739 instr, 1 contracts, 11 seqs in corpus
[2026-04-24 14:35:59.26] [status] tests: 0/2, fuzzing: 11777/1000000, values: [], cov: 1739, corpus: 11
[2026-04-24 14:36:02.30] [status] tests: 0/2, fuzzing: 15785/1000000, values: [], cov: 1739, corpus: 11
[2026-04-24 14:36:05.34] [status] tests: 0/2, fuzzing: 20003/1000000, values: [], cov: 1739, corpus: 11
[2026-04-24 14:36:08.37] [status] tests: 0/2, fuzzing: 24011/1000000, values: [], cov: 1851, corpus: 11
[2026-04-24 14:36:08.50] [Worker 3] New coverage: 1851 instr, 1 contracts, 12 seqs in corpus
[2026-04-24 14:36:08.71] [Worker 6] New coverage: 1851 instr, 1 contracts, 13 seqs in corpus
[2026-04-24 14:36:11.41] [status] tests: 0/2, fuzzing: 27846/1000000, values: [], cov: 1924, corpus: 13
[2026-04-24 14:36:12.56] [Worker 3] New coverage: 1924 instr, 1 contracts, 14 seqs in corpus
[2026-04-24 14:36:14.46] [status] tests: 0/2, fuzzing: 31854/1000000, values: [], cov: 1924, corpus: 14
[2026-04-24 14:36:17.50] [status] tests: 0/2, fuzzing: 36053/1000000, values: [], cov: 1924, corpus: 14
[2026-04-24 14:36:19.41] [Worker 2] New coverage: 1951 instr, 1 contracts, 15 seqs in corpus
[2026-04-24 14:36:20.56] [status] tests: 0/2, fuzzing: 39744/1000000, values: [], cov: 2059, corpus: 15
[2026-04-24 14:36:21.47] [Worker 4] New coverage: 2059 instr, 1 contracts, 16 seqs in corpus
[2026-04-24 14:36:23.59] [status] tests: 0/2, fuzzing: 43752/1000000, values: [], cov: 2059, corpus: 16
[2026-04-24 14:36:26.65] [status] tests: 0/2, fuzzing: 48406/1000000, values: [], cov: 2059, corpus: 16
[2026-04-24 14:36:29.72] [status] tests: 0/2, fuzzing: 52611/1000000, values: [], cov: 2059, corpus: 16
[2026-04-24 14:36:32.74] [status] tests: 0/2, fuzzing: 56619/1000000, values: [], cov: 2059, corpus: 16
[2026-04-24 14:36:35.77] [status] tests: 0/2, fuzzing: 59625/1000000, values: [], cov: 2059, corpus: 16
[2026-04-24 14:36:38.81] [status] tests: 0/2, fuzzing: 64780/1000000, values: [], cov: 2059, corpus: 16
[2026-04-24 14:36:41.84] [status] tests: 0/2, fuzzing: 68700/1000000, values: [], cov: 2059, corpus: 16
[2026-04-24 14:36:44.86] [status] tests: 0/2, fuzzing: 72147/1000000, values: [], cov: 2059, corpus: 16
[2026-04-24 14:36:47.90] [status] tests: 0/2, fuzzing: 76297/1000000, values: [], cov: 2059, corpus: 16
[2026-04-24 14:36:50.95] [status] tests: 0/2, fuzzing: 80959/1000000, values: [], cov: 2059, corpus: 16
